id,household_member_count,g_of_biscuit,unit_of_eggs,g_fruit/vege,g_of_rice,unit_of_canned,sachets_of_beverage,unit_of_instant,unit_of_bread,days_to_consume
1962,7,12610,738,96631,30452,290,448,310,410,64
1963,2,761,47,6108,1787,19,28,20,28,14
1964,9,4091,277,35356,12796,115,162,103,166,18
1965,1,1131,76,9697,3300,31,45,29,46,45
1966,4,50,7,828,410,3,4,2,6,1
1967,1,1783,133,17043,5709,55,78,51,84,78
1968,1,1699,108,14708,4413,39,69,49,70,69
1969,3,5200,321,40274,14609,138,183,116,166,61
1970,2,4009,239,31484,10839,91,148,98,142,74
1971,7,14087,944,122887,36420,377,567,398,592,81
1972,9,11062,687,89867,30418,264,423,283,418,47
1973,5,9977,711,91924,31960,276,435,284,486,87
1974,9,256,33,4006,1441,15,18,11,26,2
1975,9,17964,1162,150275,45900,469,693,478,686,77
1976,3,6356,414,53387,20253,165,249,155,250,83
1977,9,15091,939,121280,40103,363,576,388,564,64
1978,5,12300,753,96831,35300,308,445,282,414,89
1979,4,4847,289,37932,10920,113,176,125,164,44
1980,4,7086,502,64734,21813,202,300,197,322,75
1981,3,4645,275,34985,10439,113,162,112,142,54
1982,6,1711,125,15827,5940,53,72,44,80,12
1983,6,13100,853,110216,34891,343,510,347,514,85
1984,4,3960,244,31021,12235,96,148,91,142,37
1985,7,15629,988,128601,41054,400,588,398,568,84
1986,8,14511,1002,130712,38059,394,608,430,648,76
1987,7,14736,1024,133295,38828,408,616,436,654,88
1988,3,928,75,10121,2849,27,48,35,58,16
1989,1,2637,136,17365,6127,49,87,58,72,87
1990,6,3985,269,35821,9936,101,168,123,180,28
1991,2,4508,273,35297,12090,109,164,109,150,82
1992,2,4476,281,35343,14215,119,162,96,148,81
1993,4,3429,239,31388,10616,91,148,100,162,37
1994,8,11952,797,102206,36362,325,472,304,478,59
1995,8,7249,482,61558,21953,194,288,186,294,36
1996,5,11347,703,90008,33513,283,420,264,396,84
1997,7,12613,747,96012,32683,299,448,296,402,64
1998,4,6195,399,52046,12047,151,248,190,258,62
1999,4,9370,591,75768,27301,239,352,226,340,88
2000,8,14503,966,125546,39240,390,576,394,590,72
2001,5,3412,196,26115,8958,76,120,80,106,24
2002,3,4146,243,31108,11858,96,147,93,136,49
2003,7,15710,1001,129899,39216,399,602,421,594,86
2004,4,3046,204,26508,9642,84,120,76,122,30
2005,1,1760,122,15547,5080,50,72,48,74,72
2006,4,2369,153,19267,6718,65,88,56,84,22
2007,7,16339,1049,137558,38781,412,637,458,638,91
2008,4,726,57,7341,2397,25,32,21,36,8
2009,6,8005,526,68580,22422,202,324,220,338,54
2010,7,11025,742,95514,34625,294,448,286,472,64
2011,3,824,52,6630,1808,22,30,22,28,10
2012,8,1676,131,16858,5846,51,80,53,96,10
2013,5,5937,386,50171,15843,156,230,156,234,46
2014,9,2875,172,22656,6548,64,108,78,104,12
2015,5,12668,815,106692,33708,325,490,336,490,98
2016,1,1127,79,10306,3375,34,45,29,46,45
2017,7,3107,177,22820,8681,72,105,66,90,15
2018,1,1589,119,15150,5667,50,69,43,76,69
2019,9,18722,1242,160035,55392,486,756,496,784,84
2020,4,7407,422,54524,18393,166,256,170,220,64
2021,9,9614,613,78950,24871,244,369,253,360,41
2022,8,8608,579,75310,25556,227,352,234,368,44
2023,1,2394,142,18065,6770,60,82,50,72,82
2024,6,4386,292,37636,12363,118,174,116,176,29
2025,8,6195,418,53640,18726,170,248,160,254,31
2026,3,221,22,2932,421,10,12,10,16,4
2027,1,1548,99,12209,4606,45,54,33,48,54
2028,4,8612,529,68221,24651,213,316,202,302,79
2029,7,15812,994,128186,43388,399,595,393,576,85
2030,5,4377,339,43953,14402,139,200,133,228,40
2031,4,6659,445,57812,18479,177,268,183,274,67
2032,8,16666,1100,141883,46956,444,656,437,664,82
2033,1,151,21,2589,1293,10,11,5,16,11
2034,7,4225,299,38304,12491,124,175,117,184,25
2035,6,14269,976,126309,41366,394,582,392,610,97
2036,4,4680,354,46321,13024,138,216,156,248,54
2037,6,5651,365,47835,16336,143,222,147,224,37
2038,3,7380,499,63967,23430,202,297,187,314,99
2039,1,709,44,5603,1893,17,27,18,26,27
2040,6,14080,902,116137,38653,362,540,360,530,90
2041,1,468,30,3876,1345,13,17,11,16,17
2042,9,11809,774,100964,34728,315,459,300,462,51
2043,5,9205,594,76871,23703,239,355,243,350,71
2044,2,4803,276,36037,12821,108,168,110,150,84
2045,7,18146,1162,149546,54865,469,693,439,690,99
2046,4,7950,551,71223,24014,219,332,220,354,83
2047,6,5215,347,44447,16116,143,204,130,208,34
2048,1,458,18,2558,715,6,12,9,6,12
2049,6,12415,801,104065,32945,309,492,339,502,82
2050,8,4532,291,38234,12207,115,176,120,174,22
2051,8,9208,626,81352,27220,242,384,257,412,48
2052,2,5100,303,39468,13982,119,184,119,168,92
2053,7,9290,554,71367,22318,225,329,225,304,47
2054,7,8152,537,69009,22085,215,322,219,324,46
2055,2,1009,80,10390,4152,34,46,27,54,23
2056,3,5713,311,40838,12930,110,201,141,184,67
2057,9,16937,1088,141425,42355,422,666,470,674,74
2058,7,7206,489,63264,19150,195,294,205,306,42
2059,5,10007,610,78158,26996,250,360,235,328,72
2060,8,15727,1107,143857,49077,435,672,446,728,84
2061,4,10165,667,86593,28005,275,392,263,386,98
2062,1,404,23,3160,641,8,15,12,14,15
2063,3,3380,242,30864,8400,98,144,104,158,48
2064,4,4655,291,38263,13708,115,176,113,172,44
2065,1,684,51,6479,2418,21,30,19,32,30
2066,1,1658,113,14663,5488,47,66,41,68,66
2067,8,17303,1076,138686,46203,436,640,425,608,80
2068,9,21978,1334,173825,54182,524,810,558,768,90
2069,6,12218,754,98146,27471,310,444,317,408,74
2070,5,9880,635,83535,24758,245,390,275,398,78
2071,9,8764,581,76361,25229,230,351,237,360,39
2072,3,2420,134,17237,5805,53,81,54,72,27
2073,4,1718,95,12461,3069,39,56,42,44,14
2074,1,2180,118,15060,5150,50,68,44,50,68
2075,8,3991,265,34264,11393,105,160,107,166,20
2076,3,4813,297,38263,11963,117,180,123,172,60
2077,9,2601,132,17683,4384,51,81,61,62,9
2078,8,14359,894,116259,38166,350,544,366,530,68
2079,4,8298,518,66838,22294,214,304,202,286,76
2080,8,7843,503,63306,23875,207,296,183,290,37
2081,3,3915,266,34995,9923,101,165,119,178,55
2082,3,1688,136,16768,5857,58,78,50,90,26
2083,3,5670,349,45070,13329,139,210,148,200,70
2084,5,6856,432,55061,20092,177,255,161,242,51
2085,8,7073,411,53266,16808,163,248,170,222,31
2086,2,503,36,4356,2387,16,20,9,20,10
2087,2,4481,303,39006,10775,121,182,131,190,91
2088,5,11313,698,89389,31760,278,420,271,400,84
2089,4,5701,403,52340,17346,159,244,163,264,61
2090,6,2601,182,23989,8430,68,114,75,128,19
2091,3,3168,210,26313,9494,87,123,78,124,41
2092,4,1363,80,10363,3774,32,48,31,42,12
2093,1,2033,133,16769,7610,54,79,44,78,79
2094,8,2080,111,13863,3997,47,64,45,48,8
2095,5,9409,660,84092,32014,270,390,240,412,78
2096,8,18039,1180,152132,54106,484,696,445,688,87
2097,9,10103,665,85350,28603,269,396,263,400,44
2098,9,10313,614,78941,25139,245,369,250,336,41
2099,8,8462,544,70196,24915,216,328,212,328,41
2100,5,11093,725,93952,30306,285,440,300,452,88
2101,4,7548,502,65321,21679,198,304,204,314,76
2102,3,3921,268,34426,10602,103,165,114,176,55
2103,8,11106,713,91628,31968,289,424,277,418,53
2104,8,17927,1149,149676,43650,453,696,491,688,87
2105,4,5617,432,55752,18547,176,256,169,296,64
2106,8,2268,153,19351,5833,65,88,61,88,11
2107,8,13887,930,119639,37674,370,560,386,580,70
2108,6,8493,532,67860,26764,214,318,194,306,53
2109,1,819,54,7009,1934,22,32,23,32,32
2110,8,8631,570,72734,25339,242,328,212,322,41
2111,1,1528,92,11763,3564,37,55,39,52,55
2112,1,173,13,1613,652,5,8,5,10,8
2113,2,1615,100,13002,4962,38,62,39,60,31
2114,4,1877,131,16399,5846,59,72,45,70,18
2115,7,11966,801,103732,35468,318,483,317,504,69
2116,8,12647,796,101721,36750,324,472,301,456,59
2117,3,947,45,6202,1608,18,27,20,18,9
2118,1,159,14,1776,694,6,8,5,10,8
2119,3,6186,387,50413,14981,156,231,162,222,77
2120,9,20670,1381,174851,62365,571,810,515,816,90
2121,6,6448,408,53134,16967,162,246,167,244,41
2122,1,1172,88,11666,4625,33,55,34,64,55
2123,9,9928,662,85585,29249,266,396,259,406,44
2124,7,13888,894,114329,41272,355,539,346,544,77
2125,6,11845,812,104216,35696,338,474,309,486,79
2126,5,11192,694,89792,34365,279,415,257,396,83
2127,8,16027,1070,138690,46940,422,648,429,668,81
2128,7,8015,459,59260,20665,179,280,183,248,40
2129,5,6256,368,48456,14474,143,225,158,204,45
2130,5,11520,771,98892,32933,316,455,302,472,91
2131,8,617,39,5054,1072,15,24,19,24,3
2132,4,5972,403,51423,18400,163,240,152,248,60
2133,8,7370,490,62553,21987,202,288,186,288,36
2134,2,55,4,459,200,2,2,1,2,1
2135,3,4053,250,31766,12869,103,147,88,138,49
2136,6,5976,402,52460,16975,162,240,162,246,40
2137,9,14684,917,119187,36939,368,549,377,524,61
2138,8,9339,554,72174,24170,218,336,225,312,42
2139,3,4379,281,35537,14370,113,168,100,166,56
2140,3,1928,123,16054,6380,48,75,46,74,25
2141,3,553,56,7091,2028,23,33,23,44,11
2142,2,3232,178,22449,8883,72,106,64,90,53
2143,8,3024,204,25669,8358,84,120,80,124,15
2144,9,8914,582,75791,23371,231,351,243,358,39
2145,3,4594,307,39952,11439,121,186,133,196,62
2146,3,4654,299,38255,13074,122,177,116,172,59
2147,7,13106,870,111897,38847,345,525,344,546,75
2148,4,438,38,4899,1062,14,24,19,30,6
2149,8,1184,90,11514,3806,34,56,38,66,7
2150,2,3790,249,32523,12300,95,154,97,158,77
2151,9,17431,1095,142397,42200,438,657,462,636,73
2152,3,6560,393,51404,17767,147,246,164,242,82
2153,4,6340,416,54140,18024,164,252,169,258,63
2154,2,2156,145,18425,6203,59,86,56,88,43
2155,7,11240,808,103603,36784,325,483,312,532,69
2156,9,1084,86,11318,2745,32,54,41,66,6
2157,5,5143,354,46082,13782,144,210,147,218,42
2158,7,5014,313,39421,13812,131,182,118,166,26
2159,9,16799,1041,134630,46066,420,621,409,588,69
2160,2,101,8,1154,210,2,6,5,8,3
2161,5,1932,109,14029,4827,44,65,43,56,13
2162,9,14904,1015,131888,41496,403,612,418,644,68
2163,6,2133,164,20809,7527,68,96,61,110,16
2164,9,666,31,3986,1125,13,18,13,10,2
2165,6,13532,916,117080,44173,376,540,335,562,90
2166,7,6866,466,60769,17852,186,280,197,292,40
2167,4,8035,488,64055,19103,188,300,210,290,75
2168,9,8380,585,75607,25433,225,360,242,390,40
2169,3,1496,92,12573,1913,32,60,51,62,20
2170,9,6931,418,55055,17806,157,261,178,254,29
2171,5,5605,415,53738,16022,165,250,176,286,50
2172,9,7658,516,66554,21939,210,306,205,316,34
2173,7,3659,257,31948,13245,110,147,84,154,21
2174,2,1514,91,11509,4057,39,52,33,46,26
2175,5,8772,605,78568,27561,240,365,236,392,73
2176,7,13299,819,105703,33649,329,490,334,462,70
2177,5,2331,170,21650,7684,70,100,64,106,20
2178,9,21668,1465,188710,62046,592,873,585,912,97
2179,4,7309,486,62775,19785,194,292,200,302,73
2180,4,9033,583,74958,23335,235,348,239,346,87
2181,4,4228,275,35563,13396,111,164,102,166,41
2182,3,1027,61,7961,2396,22,39,28,38,13
2183,4,3598,211,26873,10271,87,124,76,110,31
2184,5,5498,413,53814,16680,163,250,174,286,50
2185,7,5692,382,49791,16555,144,238,161,254,34
2186,4,1673,104,13121,3786,44,60,42,56,15
2187,8,19200,1229,156802,56637,501,728,464,718,91
2188,5,371,34,4368,1808,14,20,12,26,4
2189,9,930,57,7444,3079,21,36,22,36,4
2190,8,11449,734,93999,32157,294,440,289,434,55
2191,6,462,20,2523,609,8,12,9,6,2
2192,8,13621,844,109547,35111,332,512,350,492,64
2193,7,16000,1033,133041,48775,417,616,392,612,88
2194,4,9649,566,73603,24925,218,348,232,320,87
2195,3,1934,144,18627,5529,60,84,58,90,28
2196,5,9340,600,77208,25463,245,355,236,342,71
2197,3,567,41,5223,2029,17,24,15,26,8
2198,1,1994,128,16749,5519,51,77,52,78,77
2199,8,5455,360,46790,16459,144,216,140,224,27
2200,1,1391,88,11508,4164,35,53,34,50,53
2201,1,1721,126,16040,5184,51,75,50,84,75
2202,4,2098,136,18076,4897,52,84,62,86,21
2203,6,7237,469,61533,21223,187,282,186,280,47
2204,4,483,32,4195,1945,12,20,11,22,5
2205,5,11134,702,91286,30255,277,425,286,412,85
2206,7,15294,1020,132949,43445,404,616,415,634,88
2207,2,4133,279,35326,11500,111,168,114,174,84
2208,5,671,60,7778,2860,25,35,22,44,7
2209,2,355,24,3152,1104,8,16,11,18,8
2210,5,6598,456,58903,20249,176,280,186,302,56
2211,6,719,29,3737,1051,11,18,13,8,3
2212,6,4359,284,37148,11352,110,174,121,176,29
2213,6,4667,303,39196,12427,123,180,123,178,30
2214,4,2219,154,19943,7401,62,92,58,100,23
2215,7,8573,555,70664,24138,226,329,214,326,47
2216,8,6713,452,58701,16987,180,272,194,284,34
2217,9,12465,826,105685,39625,340,486,303,492,54
2218,6,7129,492,63782,18606,198,294,207,312,49
2219,2,3185,178,24055,7642,66,112,77,102,56
2220,3,4971,289,36703,10610,118,171,121,148,57
2221,1,254,18,2339,568,6,12,9,14,12
2222,3,7259,431,56138,16592,170,261,183,242,87
2223,1,2396,150,19036,7212,58,92,58,90,92
2224,2,4397,233,30788,9001,89,144,101,120,72
2225,1,650,34,4721,1115,10,24,19,22,24
2226,7,11153,754,97457,28337,306,448,316,466,64
2227,9,23219,1437,184511,60688,573,864,577,828,96
2228,5,1814,111,13674,6182,46,65,36,60,13
2229,1,1050,89,11249,5697,37,52,26,64,52
2230,3,5608,382,49392,15758,151,231,156,248,77
2231,4,6483,460,59631,18012,180,280,195,308,70
2232,5,5285,340,43857,14553,135,205,137,204,41
2233,9,7926,547,70927,25071,214,333,216,358,37
2234,8,18172,1190,153632,56026,478,712,455,712,89
2235,5,11077,745,94684,30074,305,440,299,448,88
2236,7,14821,930,120012,41001,370,560,369,552,80
2237,6,5704,300,39057,12793,120,180,121,140,30
2238,7,13401,853,110546,34990,335,518,357,520,74
2239,2,4712,299,39228,12119,113,186,130,188,93
2240,9,4270,252,32062,10775,99,153,103,142,17
2241,3,1419,83,10940,3343,32,51,35,48,17
2242,8,15759,1037,136293,40399,405,632,445,654,79
2243,6,13722,878,113262,41249,344,534,341,534,89
2244,6,2269,144,18263,6496,60,84,54,80,14
2245,5,8121,555,71372,22563,220,335,229,352,67
2246,3,2981,195,24899,9944,81,114,69,114,38
2247,2,1096,62,8181,2177,24,38,28,34,19
2248,9,6690,426,54611,20576,174,252,157,238,28
2249,1,2925,157,20144,7073,64,93,60,76,93
2250,2,1593,109,13975,5404,45,64,39,66,32
2251,9,12204,766,99285,34696,307,459,300,442,51
2252,2,198,15,1895,621,7,8,5,8,4
2253,6,3666,232,29900,9977,94,138,92,132,23
2254,9,11952,744,96337,33864,294,450,294,438,50
2255,5,10545,697,89515,31464,282,415,269,424,83
2256,1,1469,80,10269,3594,31,49,32,42,49
2257,5,6654,488,63911,18154,188,300,217,346,60
2258,1,2265,126,17113,3572,49,77,61,66,77
2259,3,5195,334,42496,12864,136,198,138,192,66
2260,1,849,54,6816,3237,23,31,16,28,31
2261,2,2630,179,23024,7842,71,108,72,116,54
2262,7,17040,1113,144436,45903,441,672,460,682,96
2263,5,2179,92,12408,3416,32,60,44,36,12
2264,5,12316,757,98262,30684,297,460,318,434,92
2265,5,12638,755,97467,31811,300,455,308,422,91
2266,3,794,57,7215,2784,24,33,20,34,11
2267,6,8004,519,68203,19231,201,318,229,324,53
2268,5,12183,801,103366,35516,311,490,325,514,98
2269,8,20685,1236,158905,50892,500,736,498,672,92
2270,3,3800,261,33856,11722,102,159,104,168,53
2271,9,2616,157,19791,6614,67,90,59,78,10
2272,6,10300,699,90616,28432,273,426,295,450,71
2273,8,11427,761,97432,32135,313,448,299,448,56
2274,8,7820,496,63849,20039,200,296,202,296,37
2275,1,1126,69,9267,1461,26,43,36,42,43
2276,7,17773,1120,144183,45375,441,679,464,668,97
2277,5,5343,351,45832,15623,136,215,143,224,43
2278,5,7474,492,62638,22162,202,290,187,290,58
2279,3,4302,240,30826,9871,93,147,100,126,49
2280,9,7964,524,66948,25100,218,306,190,310,34
2281,3,1192,106,13754,4249,40,66,46,84,22
2282,8,11871,834,107496,38565,338,496,321,530,62
2283,6,206,19,2407,809,7,12,8,16,2
2284,7,8651,547,70085,24515,218,329,214,322,47
2285,1,201,30,4054,631,11,19,16,30,19
2286,7,9865,659,85114,28372,267,392,261,404,56
2287,6,5487,429,54870,18091,177,252,168,292,42
2288,5,7292,552,70361,23653,232,320,210,356,64
2289,9,18127,1245,160083,54057,507,738,488,772,82
2290,4,9719,633,81905,28267,249,384,254,390,96
2291,9,19976,1172,150157,51347,470,702,462,632,78
2292,2,886,52,6322,2356,22,30,18,26,15
2293,4,7835,523,67759,21097,211,312,215,316,78
2294,8,11434,748,96815,32994,300,448,296,452,56
2295,6,4533,284,36549,11671,110,174,119,172,29
2296,2,223,27,3453,820,11,16,12,24,8
2297,4,5381,375,48463,16809,151,224,146,238,56
2298,9,454,30,3896,1998,12,18,9,18,2
2299,8,15638,973,126445,36776,389,584,415,556,73
2300,8,8623,541,68678,24828,229,312,198,296,39
2301,7,13914,861,111778,34578,336,525,364,510,75
2302,2,1331,85,11152,3047,35,50,36,50,25
2303,6,8661,526,67462,23633,214,312,201,288,52
2304,4,4205,282,36656,12380,110,172,114,180,43
2305,4,570,36,4401,1775,16,20,12,18,5
2306,2,3099,226,29081,8453,92,134,94,150,67
2307,8,381,26,3485,641,10,16,13,16,2
2308,7,9286,566,72255,25537,230,336,217,316,48
2309,8,2942,177,23381,6184,65,112,82,106,14
2310,3,4354,286,37675,12930,112,174,115,176,58
2311,2,3900,270,35041,10303,108,162,114,174,81
2312,4,7574,534,69135,22873,214,320,214,344,80
2313,6,10443,698,90427,30392,278,420,281,436,70
2314,7,3600,229,29322,10723,96,133,84,130,19
2315,8,4325,296,39130,9847,112,184,139,202,23
2316,8,2719,174,22980,8670,70,104,65,104,13
2317,3,312,15,1957,200,6,9,8,6,3
2318,6,908,83,10724,2881,35,48,35,60,8
2319,2,2066,106,14049,4143,40,66,47,52,33
2320,8,11737,711,90897,30189,287,424,282,388,53
2321,1,2502,153,19958,6749,60,93,62,88,93
2322,9,10859,748,96335,30952,307,441,298,458,49
2323,1,1052,59,7979,1734,20,39,31,38,39
2324,3,1531,89,11468,3994,38,51,33,44,17
2325,1,144,10,1233,631,4,6,3,6,6
2326,6,11588,697,90443,27890,277,420,289,394,70
2327,7,5588,402,52749,16241,157,245,169,270,35
2328,7,4116,244,31879,11924,97,147,93,134,21
2329,1,2233,118,15378,4573,48,70,49,52,70
2330,6,15672,978,127406,41357,390,588,399,564,98
2331,1,674,50,6678,1975,18,32,23,38,32
2332,3,416,28,3728,1115,10,18,13,20,6
2333,4,6465,420,53501,19133,172,248,158,242,62
2334,7,11398,805,103360,37142,322,483,312,520,69
2335,8,5813,368,47378,14665,144,224,155,224,28
2336,9,9094,689,88806,29846,275,414,274,474,46
2337,3,2463,139,17828,6518,55,84,54,72,28
2338,1,1919,117,15100,5119,46,71,47,68,71
2339,1,930,41,5132,2134,16,25,15,14,25
2340,1,1853,100,12956,4006,41,59,41,46,59
2341,6,3509,248,31988,10397,98,150,101,162,25
2342,2,2011,130,16775,6035,54,76,48,72,38
2343,2,262,17,2470,473,5,12,10,14,6
2344,6,10137,617,80292,25281,251,366,250,340,61
2345,5,9427,658,85796,27205,258,400,275,430,80
2346,9,13290,909,117371,40959,360,549,358,584,61
2347,4,3469,237,30558,11195,93,144,92,152,36
2348,1,1780,105,14082,3218,38,67,52,66,67
2349,9,6723,436,56654,19657,175,261,171,262,29
2350,1,1970,121,15918,5256,45,76,52,76,76
2351,2,672,52,6745,2607,20,32,20,38,16
2352,1,2371,146,18812,7307,60,86,52,82,86
2353,6,10839,669,86111,28089,267,402,272,386,67
2354,3,3868,221,29676,9293,80,141,98,132,47
2355,3,2933,193,25084,8988,79,114,73,116,38
2356,7,14726,880,114384,37488,348,532,358,494,76
2357,8,17108,1084,141228,45003,428,656,448,654,82
2358,4,3145,199,26146,7654,79,120,85,120,30
2359,6,2006,124,16493,5224,46,78,54,80,13
2360,3,8363,466,60106,20789,184,282,185,236,94
2361,4,6337,414,53222,18158,166,248,164,254,62
2362,6,602,49,6461,1861,19,30,21,36,5
2363,4,7093,499,64066,22851,203,296,190,316,74
2364,5,7269,533,69160,23576,208,325,215,364,65
2365,9,15806,1072,137953,46076,424,648,431,684,72
2366,2,917,71,9185,3227,29,42,27,50,21
2367,6,11730,757,96168,34698,307,450,289,444,75
2368,2,2005,120,15750,5211,50,70,47,62,35
2369,8,9121,573,74021,23778,229,344,233,332,43
2370,5,8188,535,68062,24052,220,315,203,310,63
2371,9,5516,369,48342,15053,144,225,156,236,25
2372,3,6043,416,53624,17962,167,249,165,262,83
2373,5,9985,611,78465,27290,246,365,237,336,73
2374,8,6838,445,57758,21557,173,272,174,282,34
2375,8,1992,158,20775,7254,62,96,63,114,12
2376,2,2448,192,24532,8921,76,116,74,136,58
2377,1,1852,120,15185,5875,53,67,40,62,67
2378,7,16417,1099,141751,49902,427,672,438,700,96
2379,5,1708,105,13307,4899,45,60,37,54,12
2380,3,5529,375,47881,18869,156,219,132,218,73
2381,9,18352,1203,156420,49390,474,729,498,748,81
2382,4,367,22,2605,2177,10,12,2,10,3
2383,8,4847,344,43406,13458,144,200,136,210,25
2384,1,1636,134,17617,4973,53,81,58,98,81
2385,9,4814,295,38334,12316,115,180,122,172,20
2386,1,1286,103,12878,4552,43,60,39,72,60
2387,8,3707,263,34286,11629,103,160,106,178,20
2388,4,9701,641,81589,30396,261,380,239,378,95
2389,1,575,32,4033,1345,14,18,12,14,18
2390,4,2720,187,23886,8860,75,112,71,118,28
2391,3,5314,392,49912,17881,161,231,148,258,77
2392,3,3180,195,25365,8809,78,117,76,110,39
2393,6,5505,401,51541,16755,161,240,162,270,40
2394,2,2771,196,25247,8095,80,116,78,124,58
2395,7,18808,1143,146607,52269,457,686,441,636,98
2396,3,2988,188,23605,8851,77,111,70,104,37
2397,5,8419,530,68539,23579,210,320,211,316,64
2398,4,3179,178,22630,7284,74,104,70,82,26
2399,4,4444,293,38319,11941,113,180,125,188,45
2400,3,2965,189,24400,9059,75,114,73,114,38
2401,1,1081,61,8169,2165,21,40,30,38,40
2402,6,10206,668,86568,29404,260,408,274,412,68
2403,7,13345,857,110713,36812,346,511,341,500,73
2404,1,1084,76,10183,2881,28,48,35,54,48
2405,7,7085,472,59904,20008,192,280,185,286,40
2406,8,13848,827,107721,32166,323,504,354,478,63
2407,6,11318,772,101105,28044,304,468,337,494,78
2408,8,18213,1107,143697,49662,435,672,443,632,84
2409,2,2327,146,19275,6246,54,92,63,92,46
2410,9,20102,1265,163596,54297,500,765,511,740,85
2411,2,4355,264,34934,10051,96,168,121,164,84
2412,3,886,65,8236,2775,26,39,26,44,13
2413,5,1442,69,9295,2924,24,45,32,32,9
2414,3,6592,379,49752,15473,151,228,158,202,76
2415,5,8269,532,69432,22769,207,325,220,330,65
2416,4,8550,555,71739,23310,223,332,225,332,83
2417,4,6862,468,60256,20801,192,276,179,288,69
2418,9,6468,426,55099,16632,174,252,174,252,28
2419,6,13054,914,116993,37757,374,540,366,582,90
2420,7,10694,701,89632,32690,281,420,267,420,60
2421,8,5910,407,52700,17391,167,240,158,250,30
2422,9,7020,501,63926,23848,204,297,185,324,33
2423,9,2469,165,21321,6854,66,99,67,102,11
2424,2,153,10,1227,620,4,6,3,6,3
2425,5,6339,367,48520,15283,137,230,160,212,46
2426,8,14288,1006,130221,44600,398,608,401,666,76
2427,7,15006,982,125793,44420,394,588,380,584,84
2428,5,2928,198,25923,7957,78,120,83,126,24
2429,5,149,16,2132,873,6,10,6,14,2
2430,2,973,62,8401,2303,22,40,30,42,20
2431,8,7191,494,63539,19099,198,296,206,314,37
2432,9,15807,1024,130438,45437,412,612,398,612,68
2433,5,3786,247,31844,10494,97,150,100,154,30
2434,3,4813,328,42353,14496,130,198,131,210,66
2435,1,1051,62,8229,3037,25,37,24,32,37
2436,8,20347,1303,166697,59691,535,768,492,740,96
2437,7,8827,597,76352,27281,240,357,229,372,51
2438,5,4232,280,36904,10918,110,170,120,174,34
2439,4,2397,186,23935,8385,78,108,70,122,27
2440,1,2546,166,21088,6875,67,99,67,100,99
2441,7,1812,106,13675,4217,43,63,43,54,9
2442,5,13231,810,105195,33537,315,495,339,476,99
2443,7,18316,1123,145786,45579,444,679,467,644,97
2444,2,2211,135,18053,4530,51,84,63,84,42
2445,3,981,83,10355,4593,35,48,27,58,16
2446,8,9995,630,81128,26643,254,376,252,360,47
2447,9,17615,1181,152735,50712,479,702,469,714,78
2448,9,18291,1132,146381,47102,448,684,467,656,76
2449,8,2438,160,20346,7937,64,96,60,98,12
2450,9,10787,684,88792,29118,270,414,280,408,46
2451,8,19719,1235,158982,52356,491,744,496,722,93
2452,7,3219,219,28310,9954,86,133,88,140,19
2453,6,5266,371,47720,16797,155,216,138,226,36
2454,7,4036,298,38797,11070,116,182,129,210,26
2455,5,2800,192,24523,9248,77,115,72,120,23
2456,2,5248,324,41616,13802,132,192,127,180,96
2457,2,3112,201,25546,9525,83,118,74,116,59
2458,2,2505,149,19597,7159,59,90,57,80,45
2459,2,3612,225,29454,9921,83,142,96,142,71
2460,3,753,66,8362,3163,30,36,22,42,12
2461,7,10235,665,85255,30560,273,392,252,388,56
2462,2,3647,244,32468,11040,94,150,101,158,75
2463,9,19999,1334,172655,58248,533,801,532,824,89
2464,5,6038,403,51997,17615,163,240,157,246,48
2465,1,1906,127,16549,5529,50,77,52,78,77
2466,7,16421,1054,136987,45831,417,637,426,634,91
2467,9,16597,1018,130394,47587,406,612,389,580,68
2468,4,8943,606,78990,26218,238,368,247,384,92
2469,7,1136,69,9207,3247,27,42,28,40,6
2470,7,16011,1041,134696,48529,411,630,406,638,90
2471,6,3261,201,25991,8644,81,120,79,114,20
2472,2,3637,217,28232,9463,89,128,84,116,64
2473,1,1535,103,13329,4510,41,62,41,64,62
2474,7,6234,440,57442,20088,174,266,175,288,38
2475,4,2030,130,16712,5130,54,76,52,72,19
2476,8,823,51,6714,3101,19,32,18,32,4
2477,3,6332,392,51090,12751,155,237,177,226,79
2478,3,6178,423,53974,17391,171,252,170,264,84
2479,7,10073,630,81709,24958,252,378,262,368,54
2480,4,5695,354,46211,12095,142,212,156,206,53
2481,8,13062,809,105514,33806,321,488,331,466,61
2482,2,4107,245,31967,9744,95,150,104,138,75
2483,3,2592,174,22349,7212,72,102,68,104,34
2484,4,786,60,7846,2133,24,36,26,40,9
2485,8,619,39,5337,1146,15,24,19,24,3
2486,3,5735,360,47253,13065,141,219,159,212,73
2487,3,7048,461,59644,20170,188,273,180,272,91
2488,5,9752,646,83220,30803,261,385,242,388,77
2489,5,6412,415,53141,18410,165,250,164,250,50
2490,3,2979,203,26632,7968,83,120,83,128,40
2491,6,12988,865,111996,39642,343,522,340,544,87
2492,6,15140,950,122405,43233,380,570,370,554,95
2493,6,9863,643,82786,24128,259,384,270,388,64
2494,7,15365,1087,140367,48868,429,658,432,720,94
2495,5,1823,104,13920,3773,39,65,48,62,13
2496,7,3787,247,31515,9799,100,147,100,144,21
2497,3,3886,241,31612,10237,91,150,103,148,50
